"empresa","id","info"
"Gomes","49c03f5a-6499-4d8d-9bcc-403d93bd411d","Pagamento em dia"
"Caldeira","8bf8abef-16b8-4a5a-a301-16cd1798e419","Cliente preferencial"
"Farias Ltda.","3ca54f45-e29f-4e7d-b056-a00a390a9247","Cliente preferencial"
"da Mota","61c8b162-d50f-4002-967f-0996a403ad10","Pagamento em dia"
"Oliveira","99363f7b-f929-45a4-9727-6c1eb426dcc7","Pagamento em dia"
"Freitas","5f6504b0-fb46-4c1b-a991-e7b2c7bac2c4","Contrato anual"
"Gonçalves da Rocha e Filhos","6aa6ffd6-d157-402f-95e9-25bb125c460f","Contrato anual"
"Cardoso Campos S.A.","6cb35d06-bb1e-40e6-ac23-9637d0822427","Plano corporativo"
"Nogueira Almeida S/A","a836cb53-00c7-450d-956e-8717614ae44d","Plano corporativo"
"Pinto","4667afa8-7cc4-456e-8411-6640ba48f157","Plano corporativo"
